"id","n_features","file_bytes"
"13762",21,10673
"13909",21,26470
"13910",21,28489
"13911",21,28489
"13912",21,28000
"13913",21,28006
"13914",21,27061
"13915",21,27061
"13917",21,24944
"13944",21,9028
"13945",21,8711
"13946",21,9621
"13947",21,10078
"13970",21,8931
"13971",21,10461
"13972",21,8717
"13973",21,8907
"13974",21,9722
"13975",21,9830
"13976",21,9807
"13977",21,9645
"13978",21,9064
"13979",21,8726
"13980",21,10474
"14127",21,35177
"14128",21,26544
"14129",21,25751
"14131",21,27562
"14132",21,27084
"14133",21,27042
"14134",21,26601
"14135",21,25142
"14136",21,25126
"14137",21,23132
"14164",21,8709
"14165",21,10245
"14189",21,9608
"14190",21,10098
"14191",21,8928
"14192",21,9293
"14193",21,8761
"14195",21,9674
"14196",21,10084
"14197",21,9946
"14198",21,9492
"14347",21,25242
"14348",21,24938
"14349",21,27201
"14350",21,28627
"14351",21,28322
"14353",21,26487
"14354",21,25956
"14355",21,22900
"14356",21,23160
"14357",21,21384
"14408",21,9494
"14409",21,9550
"14410",21,9459
"14411",21,9279
"14412",21,8833
"14413",21,9314
"14415",21,10871
"14416",21,11081
"14417",21,10165
"14566",21,25249
"14567",21,25743
"14568",21,25735
"14569",21,31078
"14571",21,26344
"14572",21,26506
"14573",21,24013
"14574",21,22850
"14575",21,22790
"14576",21,21109
"14577",21,20225
"14627",21,10048
"14628",21,9631
"14629",21,9083
"14630",21,9545
"14631",21,9361
"14632",21,10315
"14633",21,9925
"14634",21,11452
"14635",21,11031
"14636",21,12697
"14785",21,24843
"14786",21,25366
"14790",21,25344
"14791",21,23916
"14792",21,23935
"14793",21,22224
"14794",21,22855
"14795",21,22548
"14796",21,20708
"14846",21,9739
"14847",21,9349
"14849",21,10637
"14850",21,9957
"14851",21,9823
"14852",21,10434
"15004",21,25569
"15005",21,29811
"15006",21,27693
"15007",21,26247
"15009",21,23387
"15010",21,23087
"15011",21,23985
"15012",21,21994
"15013",21,22047
"15014",21,22329
"15015",21,21553
"15016",21,21234
"15064",21,9736
"15065",21,10222
"15066",21,9110
"15068",21,9046
"15069",21,9372
"15070",21,10541
"15071",21,10565
"15224",21,25320
"15225",21,26262
"15226",21,24977
"15227",21,24997
"15228",21,24466
"15229",21,23547
"15230",21,23180
"15231",21,23000
"15232",21,21840
"15233",21,22133
"15234",21,20807
"15235",21,21083
"15252",21,10788
"15253",21,9486
"15254",21,9113
"15256",21,9514
"15257",21,9351
"15260",21,11334
"15287",21,9091
"15288",21,9848
"15289",21,10616
"15443",21,24546
"15444",21,22920
"15445",21,22917
"15446",21,22391
"15447",21,23239
"15448",21,23011
"15449",21,23228
"15450",21,21888
"15451",21,20997
"15452",21,21132
"15453",21,23145
"15454",21,19447
"15469",21,10266
"15470",21,9116
"15471",21,10126
"15472",21,8861
"15473",21,7996
"15474",21,8718
"15475",21,9378
"15476",21,9519
"15477",21,11379
"15478",21,11890
"15479",21,10721
"15506",21,9820
"15661",21,26557
"15663",21,25010
"15664",21,24205
"15665",21,23186
"15666",21,23653
"15667",21,25583
"15668",21,22492
"15669",21,21594
"15670",21,20979
"15671",21,22632
"15672",21,22340
"15673",21,19533
"15682",21,18851
"15683",21,18932
"15687",21,8942
"15688",21,13210
"15689",21,9323
"15690",21,7616
"15691",21,7414
"15692",21,7223
"15693",21,9018
"15694",21,9507
"15695",21,9098
"15696",21,10273
"15697",21,10337
"15698",21,10861
"15699",21,11267
"15700",21,12482
"15701",21,12815
"15702",21,10295
"15882",21,27028
"15883",21,27816
"15884",21,27043
"15886",21,25659
"15887",21,25449
"15889",21,21709
"15890",21,20827
"15891",21,21456
"15892",21,19674
"15899",21,24930
"15900",21,17797
"15901",21,21679
"15906",21,10776
"15907",21,8191
"15909",21,7805
"15910",21,6788
"15911",21,8934
"15912",21,9298
"15913",21,8323
"15914",21,9336
"15915",21,9415
"15916",21,10129
"15917",21,10982
"15918",21,11946
"15919",21,11829
"15920",21,9185
"15921",21,10152
"15922",21,10632
"15937",21,10864
"16101",21,24296
"16102",21,27409
"16104",21,26398
"16105",21,26516
"16108",21,25695
"16111",21,18686
"16112",21,18204
"16113",21,18204
"16114",21,18262
"16115",21,18688
"16116",21,19504
"16117",21,19018
"16118",21,18968
"16125",21,9141
"16126",21,8122
"16129",21,8463
"16130",21,11273
"16131",21,12315
"16132",21,8484
"16133",21,10126
"16134",21,10134
"16135",21,10141
"16136",21,11370
"16137",21,11543
"16138",21,9529
"16139",21,9903
"16140",21,9220
"16141",21,10774
"16324",21,25851
"16330",21,18952
"16331",21,18511
"16332",21,18160
"16333",21,19246
"16334",21,19010
"16335",21,18217
"16336",21,19525
"16344",21,8656
"16345",21,7795
"16347",21,7342
"16348",21,11635
"16349",21,10065
"16350",21,8846
"16351",21,9179
"16352",21,10045
"16353",21,9871
"16354",21,9664
"16355",21,11307
"16356",21,10281
"16357",21,10254
"16358",21,9684
"16359",21,9265
"16360",21,9629
"16361",21,10227
"16564",21,8857
"16565",21,8173
"16566",21,7902
"16567",21,7612
"16568",21,9051
"16569",21,10011
"16570",21,10481
"16571",21,11119
"16574",21,10456
"16575",21,10337
"16576",21,9802
"16577",21,9504
"16579",21,8861
"16580",21,8866
"16784",21,10030
"16785",21,10851
"16786",21,8121
"16787",21,8496
"16788",21,10972
"16789",21,11010
"16791",21,10062
"16793",21,9916
"16794",21,9397
"16795",21,9450
"16797",21,9389
"16981",21,25958
"16982",21,25990
"16984",21,27442
"16985",21,25929
"16986",21,21875
"17004",21,10093
"17005",21,9021
"17006",21,9416
"17007",21,9997
"17008",21,10589
"17009",21,10383
"17010",21,9907
"17011",21,8888
"17012",21,9262
"17013",21,9642
"17014",21,9041
"17015",21,8950
"17016",21,8835
"17017",21,9416
"17200",21,27315
"17201",21,27799
"17202",21,28893
"17203",21,28532
"17204",21,25646
"17205",21,23106
"17223",21,10008
"17224",21,10621
